datetime,client,close,price_am,price_pm
2016-04-01,1,0,3,2
2016-04-02,0,0,5,5
2016-04-03,1,0,2,2
2016-04-04,1,0,1,1
2016-04-05,0,0,1,1
2016-04-06,1,0,1,1
2016-04-07,1,0,1,1
2016-04-08,0,0,1,1
2016-04-09,1,0,2,2
2016-04-10,1,0,1,1
2016-04-11,1,0,0,0
2016-04-12,1,0,0,0
2016-04-13,1,0,0,0
2016-04-14,1,0,0,0
2016-04-15,1,0,1,0
2016-04-16,1,0,2,1
2016-04-17,0,0,1,1
2016-04-18,0,0,0,0
2016-04-19,0,0,0,0
2016-04-20,0,0,0,0
2016-04-21,0,0,0,0
2016-04-22,0,0,1,1
2016-04-23,0,0,2,2
2016-04-24,1,0,2,1
2016-04-25,0,0,1,1
2016-04-26,0,0,0,0
2016-04-27,0,0,1,0
2016-04-28,0,0,1,1
2016-04-29,0,0,3,2
2016-04-30,0,0,3,2
2016-05-01,0,0,2,1
2016-05-02,1,0,0,0
2016-05-03,0,0,1,0
2016-05-04,0,0,1,1
2016-05-05,0,0,0,0
2016-05-06,0,0,0,0
2016-05-07,1,0,1,1
2016-05-08,0,0,0,1
2016-05-09,0,0,0,0
2016-05-10,0,0,0,0
2016-05-11,0,0,0,0
2016-05-12,0,0,0,0
2016-05-13,0,0,1,1
2016-05-14,1,0,1,1
2016-05-15,1,0,1,0
2016-05-16,0,0,0,0
2016-05-17,0,0,0,0
2016-05-18,0,0,0,0
2016-05-19,0,0,0,0
2016-05-20,0,0,1,1
2016-05-21,0,0,2,1
2016-05-22,0,0,1,1
2016-05-23,0,0,0,0
2016-05-24,0,0,0,0
2016-05-25,0,0,0,0
2016-05-26,0,0,0,0
2016-05-27,0,0,1,1
2016-05-28,0,0,2,2
2016-05-29,0,0,2,1
2016-05-30,0,0,1,1
2016-05-31,0,0,1,1
2016-06-01,1,0,1,1
2016-06-02,0,0,0,0
2016-06-03,1,0,1,0
2016-06-04,1,0,2,1
2016-06-05,0,0,1,0
2016-06-06,0,0,0,0
2016-06-07,0,0,0,0
2016-06-08,0,0,0,0
2016-06-09,0,0,0,0
2016-06-10,0,0,1,0
2016-06-11,0,0,1,1
2016-06-12,0,0,1,0
2016-06-13,0,0,0,0
2016-06-14,0,0,0,0
2016-06-15,0,0,0,0
2016-06-16,0,0,0,0
2016-06-17,0,0,1,1
2016-06-18,0,0,1,1
2016-06-19,0,0,1,0
2016-06-20,0,0,0,0
